OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
1,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4330.835359782705382,471514.061455640301574
2,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,9243.145098644483369,4177407.004914390388876
3,Cb,Cb,dsmCb,dsmCb,,,,,,,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6326.037113396153472,1501020.770701837027445
4,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,35389.476113727083430,28905234.673605952411890
5,Gh,Gh,zsgFGhdM-TH,zsgFGhdM,,,,,,,TH,,,,z,s,g,F,G,,M,h,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,27571.042332650722528,18252115.249187137931585
6,Lp-k,Lp-Xt,czsLGpM-Xt,czsLGpM,,,,,,,Xt,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,2791.899442361566344,464994.811457997362595
7,Mv/Cb-s,Mv/Cb-S,zsbMvM/dsmCb-S,zsbMvM,/,dsmCb,,,,,S,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,102074.689225041118334,92652363.605543300509453
8,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6096.302055833803934,2364526.021819173824042
9,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,9150.539821933865824,4570889.074161217547953
10,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,33299.659018585443846,15839579.014690933749080
11,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4089.295657060970370,776485.867451823549345
12,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,15905.603818255016449,6101400.982892133295536
13,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,3598.735099671219359,681263.394259493332356
14,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,21659.448172526226699,20753280.434731539338827
15,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,61308.135521990894631,14383939.289441971108317
16,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,8087.093215964635419,2588777.284667157568038
17,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,21502.148884405400167,16820377.088156830519438
18,Lp-k/Ap,Lp/Ap-Xt,czsLGpM/gszFp-XtU,czsLGpM,/,gszFp,,,,,XtU,,,,c,z,s,L,G,,M,p,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,,U,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,29699.865520756495243,17732021.229895658791065
19,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,2723.680910676360782,334482.437362763157580
20,Mv-c,Mv-C,zsbMvM-E,zsbMvM,,,,,,,E,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,12890.568447182409727,5141099.323058288544416
21,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,2683.751381619887070,281080.813962756597903
22,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,33376.457008367986418,24903118.782334126532078
23,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17116.251853875895904,11847757.824868246912956
24,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,1606.693456295810392,118882.516403866960900
25,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,28989.325192932126811,9986900.935782518237829
26,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,28391.891323487056070,18379641.929857362061739
27,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,15977.030780417384449,8692785.057633189484477
28,Mv/Cb-s,Mv/Cb-S,zsbMvM/dsmCb-S,zsbMvM,/,dsmCb,,,,,S,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,10575.331645826074237,3641202.441450813785195
29,Gp/O,Gp/O,gszFGpdM/eOp-E,gszFGpdM,/,eOp,,,,,E,,,,g,s,z,F,G,,M,p,d,,,,e,,,O,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17113.755979318175378,7096130.090948205441236
30,Cb,Cb,dsmCb,dsmCb,,,,,,,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,1909.733038025241513,124297.866695966178668
31,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,18351.449514179865218,9504048.458444604650140
32,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6966.304164563234735,2404231.998874286655337
33,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,2975.350380612176650,486399.983198119734880
34,Mv/Cb,Mv/Cb,zsbMvM/dsmCb,zsbMvM,/,dsmCb,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,21511.645312881391874,9562965.190662605687976
35,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4284.114075144972958,1040712.863939174683765
36,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,754.605573467270460,22387.247472587590892
37,Mv/Cb,Mv/Cb,zsbMvM/dsmCb,zsbMvM,/,dsmCb,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,22216.795022750371572,17068470.635202009230852
38,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,50578.195347719112760,50616608.729205898940563
39,Mv-c/Cb-s,Mv/Cb-CS,zsbMvM/dsmCb-ES,zsbMvM,/,dsmCb,,,,,ES,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,S,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,55541.566540154664835,44510814.839415244758129
40,Mv/Cb-s,Mv/Cb-S,zsbMvM/dsmCb-S,zsbMvM,/,dsmCb,,,,,S,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,12228.484016948998033,5529223.612494366243482
41,Gp,Gp,gszFGpdM-E,gszFGpdM,,,,,,,E,,,,g,s,z,F,G,,M,p,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,5890.078139942761482,1342467.279574433108792
42,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,13838.403341780514893,7654210.604394354857504
43,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,52429.242646511200292,30347852.384972196072340
44,Cb,Cb,dsmCb,dsmCb,,,,,,,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,3926.213533640994228,684038.684145963867195
45,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,14750.431951527911224,6364717.149614269845188
46,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,178597.939464587427210,77307777.358701944351196
47,Mv/Cb,Mv/Cb,zsbMvM/dsmCb,zsbMvM,/,dsmCb,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,30640.228166784443602,9477270.140365151688457
48,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,10116.927015193656189,4831176.576335960067809
49,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4824.431408418186038,709549.053556448547170
50,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17653.479065351446479,6745017.494250948540866
51,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4582.848803585895439,503819.770981751498766
52,Lp/Ad,Lp/Ad,czsLGpM/gszFl,czsLGpM,/,gszFl,,,,,,,,,c,z,s,L,G,,M,p,,,,,g,s,z,F,,,,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17234.245219724274648,16480618.211382139474154
53,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,12201.947746908597765,2145427.762310189194977
54,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,39886.459492163325194,14663010.814211705699563
55,Mb/Gx,Mb/Gx,zsdMbM/gszFGhprM-T,zsdMbM,/,gszFGhprM,,,,,T,,,,z,s,d,M,,,M,b,,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,24370.683515220858681,11924658.819643782451749
56,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,14233.957621327957895,5573687.651502432301641
57,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,3509.830841038786275,697536.872355428989977
58,Mb/Gr,Mb/Gr,zsdMbM/sgFGrM-TH,zsdMbM,/,sgFGrM,,,,,TH,,,,z,s,d,M,,,M,b,,,,,s,g,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,21601.879808508219867,9737320.420669110491872
59,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11404.820276920481774,4847123.233397411182523
60,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,8422.792405054062328,2945813.292011072859168
61,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,23043.214494171952538,7142418.979723679833114
62,Ad,Ad,gszFl,gszFl,,,,,,,,,,,g,s,z,F,,,,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17877.149268123590446,13965846.171274721622467
63,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,22725.550965077862202,10678196.463318282738328
64,Mb/Cb,Mb/Cb,zsdMbM/dsmCb,zsdMbM,/,dsmCb,,,,,,,,,z,s,d,M,,,M,b,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,33976.574908178532496,21494915.714323796331882
65,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6736.888766296573522,2156028.919452997855842
66,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,7944.429343353734112,4327719.266349636018276
67,Cb/Mb,Cb/Mb,dsmCb/zsdMbM,dsmCb,/,zsdMbM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,16266.480086727044181,7052514.946797231212258
68,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4340.052509007279696,658317.259076158632524
69,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11933.712723387352526,4208257.451258359476924
70,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,92963.476824820114416,76765323.220217779278755
71,Gp/Mb,Gp/Mb,gszFGpdM/zsdMbM-E,gszFGpdM,/,zsdMbM,,,,,E,,,,g,s,z,F,G,,M,p,d,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,10585.197714124924460,3674512.440681888256222
72,Mv-c/Cb-s,Mv/Cb-CS,zsbMvM/dsmCb-ES,zsbMvM,/,dsmCb,,,,,ES,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,S,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,38849.907111218788486,25543373.966418825089931
73,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,7452.547711798227283,1442967.668003210099414
74,R,R,R/rCv,R,/,rCv,,,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6291.502865147054763,1640295.216995590599254
75,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,3860.601612364750963,943206.782755415188149
76,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,9300.841570077185679,4804100.026281455531716
77,Mv/Cb,Mv/Cb,zsbMvM/dsmCb,zsbMvM,/,dsmCb,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,23901.446430162093748,11299048.944339001551270
78,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,124281.913861680368427,93112768.272991642355919
