OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
10317,R,R,R,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,2312.887969383058589,333005.857554767921101
10318,Cv/Mv,Cv/Mv,dsmCv/zsbMvM,dsmCv,/,zsbMvM,,,,,,,,,d,s,m,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,15699.971205949732393,3760362.000264841597527
10319,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,3976.804389681175508,554377.815574063453823
10320,Gt/Gx,Gtx,zsgFGtrmM/czsLGpM//zsdMhM-TE,zsgFGtrmM,/,czsLGpM,//,zsdMhM,,,TE,,,,z,s,g,F,G,,M,t,r,m,,,c,z,s,L,G,,M,p,,,,,z,s,d,M,,,M,h,,,,,,,,,,,,,,,T,,,,E,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,10679.844992613650902,4406075.146344780921936
10321,R/Cv,R/Cv,R/dsmCv,R,/,dsmCv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,7013.621384939674499,2736130.557331340853125
10322,Cz,Cz,C-L,C,,,,,,,L,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,1,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,2462.471630538479076,422932.188839681039099
10323,Mv/Cv,Mv/Cv,zsbMvM/dsmCv,zsbMvM,/,dsmCv,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,51139.861650073289638,20787499.949122276157141
10324,Gx,Gx,gszFGrmpM//zsdMhM-TE,gszFGrmpM,//,zsdMhM,,,,,TE,,,,g,s,z,F,G,,M,r,m,p,,,z,s,d,M,,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,E,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,6144.544091632401432,2301178.531407833099365
10325,Cv/Mv,Cv/Mv,dsmCv/zsbMvM,dsmCv,/,zsbMvM,,,,,,,,,d,s,m,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,25632.933464797162742,4740321.317472336813807
10326,Gt/Ap,Gt/Ap,zsgFGtM/czsLGpM/gszFp-U,zsgFGtM,/,czsLGpM,/,gszFp,,,U,,,,z,s,g,F,G,,M,t,,,,,c,z,s,L,G,,M,p,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,8757.689799821406268,3737448.602506150957197
