OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,HAZ_RANK,POLY_NUM,SHAPE_Length,SHAPE_Area
1029,sgzCb,sgzCb,sgzCb,sgzCb,,,,,,,,Hazard Rank: 3; Landscape Hazards: mass movement (steep slope),,,s,g,z,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,102,"Kennedy, 2011, Mayo, YGS Open File 2011-3",C,3,102,5138.873423831685614,290030.469319011725020
1030,gszFAp,gszFAp-U,gszFAp-U,gszFAp,,,,,,,U,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost",,,g,s,z,F,A,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,3,103,"Kennedy, 2011, Mayo, YGS Open File 2011-3",FA,3,103,5930.357591679221514,208177.769193869113224
1031,zdCb/sgFGt,zdCb/sgFGt,zdCb/sgFGtM,zdCb,/,sgFGtM,,,,,,"Hazard Rank: 2; Landscape Hazards: mass movement, permafrost",,,z,d,,C,,,,b,,,,,s,g,,F,G,,M,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,104,"Kennedy, 2011, Mayo, YGS Open File 2011-3",C,2,104,2065.068768225202348,213116.227207030664431
1032,gszFGtf//zsEw,gszFGtf//zsEw,gszFGtfM//zsEw,gszFGtfM,//,zsEw,,,,,,Hazard Rank: 1; Landscape Hazards: permafrost,,,g,s,z,F,G,,M,t,f,,,,z,s,,E,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,105,"Kennedy, 2011, Mayo, YGS Open File 2011-3",FG,1,105,12622.821361043874276,3412594.377196326851845
1033,zsEb\pkzMp-X,zsEb\pkzMpR-X,zsEb\pkzMpR-X,zsEb,\,pkzMpR,,,,,X,Hazard Rank: 2; Landscape Hazards: permafrost,,,z,s,,E,,,,b,,,,,p,k,z,M,,,R,p,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,2,11,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,2,11,15897.327281914409468,4477106.805883017368615
1034,zsEv/szgCa-X,zsEv/szgCa-X,zsEv/szgCa-X,zsEv,/,szgCa,,,,,X,"Hazard Rank: 2; Landscape Hazards: permafrost, slope stability",,,z,s,,E,,,,v,,,,,s,z,g,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,2,12,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",C,2,12,3381.721322645170403,233454.640907428401988
1035,zsEb\Mb//zsdCv-X,zsEb\MbR//zsdCv-X,zsEb\MbR//zsdCv-X,zsEb,\,MbR,//,zsdCv,,,X,"Hazard Rank: 2; Landscape Hazards: permafrost, slope stability",,,z,s,,E,,,,b,,,,,,,,M,,,R,b,,,,,z,s,d,C,,,,v,,,,,,,,,,,,,,,X,,,,,,,,,,,,2,13,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,2,13,11340.286236829986592,2681891.619912801310420
1036,zsEb/zsLd//eOw,zsEb/zsLd//eOw,zsEb/zsLd<M//eOw,zsEb,/,zsLd<M,//,eOw,,,,Hazard Rank: 3; Landscape Hazards: shallow groundwater ,,,z,s,,E,,,,b,,,,,z,s,,L,,,<M,d,,,,,e,,,O,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,3,14,2955.781088672025817,393881.371901478385553
1037,zsEb/zsLd//eOw,zsEb/zsLd//eOw,zsEb/zsLd<M//eOw,zsEb,/,zsLd<M,//,eOw,,,,Hazard Rank: 3; Landscape Hazards: shallow groundwater,,,z,s,,E,,,,b,,,,,z,s,,L,,,<M,d,,,,,e,,,O,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,3,15,5397.163414673265834,711642.600196098326705
1038,zsEv/sgzCf-X,zsEv/sgzCf-X,zsEv/sgzCf-X,zsEv,/,sgzCf,,,,,X,"Hazard Rank: 2; Landscape Hazards: permafrost, slope stability",,,z,s,,E,,,,v,,,,,s,g,z,C,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,2,16,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",C,2,16,5113.247468614807076,408765.132763019297272
1039,zsEv/pksMr,zsEv/pksMrR,zsEv/pksMrR,zsEv,/,pksMrR,,,,,,Hazard Rank: 1; Landscape Hazards: permafrost,,,z,s,,E,,,,v,,,,,p,k,s,M,,,R,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",M,1,17,7661.019976099052656,523857.512562083778903
